movie_title,genre,release_date,year,runtime,rating,number_of_voters,approval_index,budget,domestic_revenue,international_revenue,difference_of_revenue,indicator
80 for Brady (2023),Comedy,2/3/2023,2023,98,5.2,359,2.119074414,28000000,37688000,37688000,47376000,Profit
80 for Brady (2023),Drama,2/3/2023,2023,98,5.2,359,2.119074414,28000000,37688000,37688000,47376000,Profit
80 for Brady (2023),Sport,2/3/2023,2023,98,5.2,359,2.119074414,28000000,37688000,37688000,47376000,Profit
A Man Called Otto (2022),Comedy,12/25/2022,2022,126,7.6,13059,5.167562416,50000000,62802303,104002303,116804606,Profit
A Man Called Otto (2022),Drama,12/25/2022,2022,126,7.6,13059,5.167562416,50000000,62802303,104002303,116804606,Profit
Amsterdam (2022),Comedy,10/6/2022,2022,134,6.1,62180,4.822020022,80000000,14947969,29400826,-35651205,Loss
Amsterdam (2022),Drama,10/6/2022,2022,134,6.1,62180,4.822020022,80000000,14947969,29400826,-35651205,Loss
Amsterdam (2022),History,10/6/2022,2022,134,6.1,62180,4.822020022,80000000,14947969,29400826,-35651205,Loss
Armageddon Time (2022),Drama,9/14/2022,2022,114,6.6,8652,4.270360654,15000000,1860050,6076886,-7063064,Loss
Avatar: The Way of Water (2022),Action,12/9/2022,2022,192,7.8,277543,7.061100944,460000000,667830256,2265935552,2473765808,Profit
Avatar: The Way of Water (2022),Adventure,12/9/2022,2022,192,7.8,277543,7.061100944,460000000,667830256,2265935552,2473765808,Profit
Avatar: The Way of Water (2022),Fantasy,12/9/2022,2022,192,7.8,277543,7.061100944,460000000,667830256,2265935552,2473765808,Profit
Babylon (2022),Comedy,12/23/2022,2022,189,7.5,43443,5.761097736,110000000,15351455,61850440,-32798105,Loss
Babylon (2022),Drama,12/23/2022,2022,189,7.5,43443,5.761097736,110000000,15351455,61850440,-32798105,Loss
Babylon (2022),History,12/23/2022,2022,189,7.5,43443,5.761097736,110000000,15351455,61850440,-32798105,Loss
Barbarian (2022),Horror,9/8/2022,2022,102,7,127282,5.92186558,4500000,40842944,45352337,81695281,Profit
Barbarian (2022),Mystery,9/8/2022,2022,102,7,127282,5.92186558,4500000,40842944,45352337,81695281,Profit
Barbarian (2022),Thriller,9/8/2022,2022,102,7,127282,5.92186558,4500000,40842944,45352337,81695281,Profit
Beast (2022),Action,8/10/2022,2022,155,5.2,33810,3.858020768,36000000,31846530,59103794,54950324,Profit
Beast (2022),Comedy,8/10/2022,2022,155,5.2,33810,3.858020768,36000000,31846530,59103794,54950324,Profit
Beast (2022),Thriller,8/10/2022,2022,155,5.2,33810,3.858020768,36000000,31846530,59103794,54950324,Profit
Black Adam (2022),Action,10/19/2022,2022,125,6.4,217701,5.655707338,200000000,168152111,391261706,359413817,Profit
Black Adam (2022),Adventure,10/19/2022,2022,125,6.4,217701,5.655707338,200000000,168152111,391261706,359413817,Profit
Black Adam (2022),Fantasy,10/19/2022,2022,125,6.4,217701,5.655707338,200000000,168152111,391261706,359413817,Profit
Blacklight (2022),Action,2/10/2022,2022,104,4.8,19617,3.358862797,29000000,9591094,16017096,-3391810,Loss
Blacklight (2022),Drama,2/10/2022,2022,104,4.8,19617,3.358862797,29000000,9591094,16017096,-3391810,Loss
Blacklight (2022),Thriller,2/10/2022,2022,104,4.8,19617,3.358862797,29000000,9591094,16017096,-3391810,Loss
Bullet Train (2022),Action,7/14/2022,2022,127,7.3,281277,6.607193519,85900000,103368602,238875556,256344158,Profit
Bullet Train (2022),Comedy,7/14/2022,2022,127,7.3,281277,6.607193519,85900000,103368602,238875556,256344158,Profit
Bullet Train (2022),Thriller,7/14/2022,2022,127,7.3,281277,6.607193519,85900000,103368602,238875556,256344158,Profit
Death on the Nile (2022),Crime,2/9/2022,2022,127,6.3,154365,5.405916618,90000000,45630104,130298184,85928288,Profit
