date,month,year,city,latitude,longitude,customer_id,gender,customer_type,payment_method,hardware's_name,hardware's_category,cost_per_item,price_per_item,profit_per_item,order_quantity,order_price,order_profit
7/10/2023,July,2023,Banda Aceh,5.54829,95.323753,cust - 2940,Female,Normal,Cash,Cooling Fan,Safety Hardware,42000,48300,6300,4,193200,25200
5/31/2023,May,2023,Banda Aceh,5.54829,95.323753,cust - 2771,Female,Normal,E-Wallet,Cooling Fan,Safety Hardware,42000,48300,6300,4,193200,25200
5/17/2022,May,2022,Banda Aceh,5.54829,95.323753,cust - 1616,Male,Subscriber,M-Banking,Cooling Fan,Safety Hardware,42000,48300,6300,2,96600,12600
12/19/2022,December,2022,Banda Aceh,5.54829,95.323753,cust - 1871,Male,Normal,M-Banking,Cooling Fan,Safety Hardware,42000,48300,6300,5,241500,31500
3/21/2023,March,2023,Banda Aceh,5.54829,95.323753,cust - 2236,Male,Normal,M-Banking,Cooling Fan,Safety Hardware,42000,48300,6300,1,48300,6300
3/2/2023,March,2023,Banda Aceh,5.54829,95.323753,cust - 0483,Male,Normal,Cash,CPU Intel Core i3,Core Hardware,1750000,2012500,262500,2,4025000,525000
3/26/2023,March,2023,Banda Aceh,5.54829,95.323753,cust - 0747,Male,Normal,Cash,CPU Intel Core i3,Core Hardware,1750000,2012500,262500,2,4025000,525000
12/3/2022,December,2022,Banda Aceh,5.54829,95.323753,cust - 1073,Female,Subscriber,E-Wallet,CPU Intel Core i3,Core Hardware,1750000,2012500,262500,3,6037500,787500
4/29/2023,April,2023,Banda Aceh,5.54829,95.323753,cust - 1760,Male,Subscriber,E-Wallet,CPU Intel Core i3,Core Hardware,1750000,2012500,262500,1,2012500,262500
9/20/2022,September,2022,Banda Aceh,5.54829,95.323753,cust - 2443,Female,Normal,M-Banking,CPU Intel Core i3,Core Hardware,1750000,2012500,262500,1,2012500,262500
7/20/2023,July,2023,Banda Aceh,5.54829,95.323753,cust - 0731,Male,Normal,M-Banking,CPU Intel Core i3,Core Hardware,1750000,2012500,262500,1,2012500,262500
5/13/2023,May,2023,Banda Aceh,5.54829,95.323753,cust - 0478,Male,Normal,Cash,CPU Intel Core i5,Core Hardware,3388000,3896200,508200,5,19481000,2541000
11/26/2022,November,2022,Banda Aceh,5.54829,95.323753,cust - 0538,Male,Subscriber,Credit Card,CPU Intel Core i5,Core Hardware,3388000,3896200,508200,3,11688600,1524600
6/11/2023,June,2023,Banda Aceh,5.54829,95.323753,cust - 2754,Male,Subscriber,E-Wallet,CPU Intel Core i5,Core Hardware,3388000,3896200,508200,5,19481000,2541000
11/22/2022,November,2022,Banda Aceh,5.54829,95.323753,cust - 0801,Male,Normal,E-Wallet,CPU Intel Core i5,Core Hardware,3388000,3896200,508200,4,15584800,2032800
3/25/2023,March,2023,Banda Aceh,5.54829,95.323753,cust - 1538,Female,Normal,M-Banking,CPU Intel Core i5,Core Hardware,3388000,3896200,508200,3,11688600,1524600
1/2/2022,January,2022,Banda Aceh,5.54829,95.323753,cust - 0890,Male,Normal,Cash,CPU Intel Core i7,Core Hardware,4620000,5313000,693000,5,26565000,3465000
5/17/2022,May,2022,Banda Aceh,5.54829,95.323753,cust - 1478,Female,Subscriber,Cash,CPU Intel Core i7,Core Hardware,4620000,5313000,693000,4,21252000,2772000
6/26/2023,June,2023,Banda Aceh,5.54829,95.323753,cust - 1196,Male,Normal,Cash,CPU Intel Core i7,Core Hardware,4620000,5313000,693000,1,5313000,693000
1/10/2022,January,2022,Banda Aceh,5.54829,95.323753,cust - 0453,Male,Normal,E-Wallet,CPU Intel Core i7,Core Hardware,4620000,5313000,693000,2,10626000,1386000
5/3/2023,May,2023,Banda Aceh,5.54829,95.323753,cust - 0511,Male,Subscriber,M-Banking,CPU Intel Core i7,Core Hardware,4620000,5313000,693000,2,10626000,1386000
5/28/2023,May,2023,Banda Aceh,5.54829,95.323753,cust - 0835,Male,Normal,M-Banking,CPU Intel Core i7,Core Hardware,4620000,5313000,693000,1,5313000,693000
12/17/2022,December,2022,Banda Aceh,5.54829,95.323753,cust - 1245,Male,Normal,Cash,CPU Intel Core i9,Core Hardware,7350000,8452500,1102500,1,8452500,1102500
6/23/2023,June,2023,Banda Aceh,5.54829,95.323753,cust - 0643,Male,Normal,E-Wallet,CPU Intel Core i9,Core Hardware,7350000,8452500,1102500,4,33810000,4410000
3/12/2022,March,2022,Banda Aceh,5.54829,95.323753,cust - 2835,Female,Subscriber,M-Banking,CPU Intel Core i9,Core Hardware,7350000,8452500,1102500,3,25357500,3307500
12/12/2022,December,2022,Banda Aceh,5.54829,95.323753,cust - 1052,Female,Subscriber,Credit Card,Flashdisk 128 GB,Memory Hardware,504000,579600,75600,3,1738800,226800
3/4/2022,March,2022,Banda Aceh,5.54829,95.323753,cust - 1912,Female,Subscriber,E-Wallet,Flashdisk 128 GB,Memory Hardware,504000,579600,75600,4,2318400,302400
3/11/2022,March,2022,Banda Aceh,5.54829,95.323753,cust - 0137,Male,Subscriber,E-Wallet,Flashdisk 128 GB,Memory Hardware,504000,579600,75600,4,2318400,302400
7/13/2022,July,2022,Banda Aceh,5.54829,95.323753,cust - 1675,Male,Subscriber,E-Wallet,Flashdisk 128 GB,Memory Hardware,504000,579600,75600,1,579600,75600
7/5/2023,July,2023,Banda Aceh,5.54829,95.323753,cust - 3019,Male,Subscriber,M-Banking,Flashdisk 128 GB,Memory Hardware,504000,579600,75600,2,1159200,151200
6/25/2023,June,2023,Banda Aceh,5.54829,95.323753,cust - 1918,Female,Subscriber,Cash,Flashdisk 16 GB,Memory Hardware,140000,161000,21000,4,644000,84000
8/1/2022,August,2022,Banda Aceh,5.54829,95.323753,cust - 2709,Male,Subscriber,M-Banking,Flashdisk 16 GB,Memory Hardware,140000,161000,21000,3,483000,63000
4/17/2023,April,2023,Banda Aceh,5.54829,95.323753,cust - 2325,Female,Subscriber,Cash,Flashdisk 32 GB,Memory Hardware,224000,257600,33600,1,257600,33600
6/7/2023,June,2023,Banda Aceh,5.54829,95.323753,cust - 2793,Female,Normal,Cash,Flashdisk 32 GB,Memory Hardware,224000,257600,33600,3,772800,100800
3/4/2023,March,2023,Banda Aceh,5.54829,95.323753,cust - 1130,Female,Subscriber,E-Wallet,Flashdisk 32 GB,Memory Hardware,224000,257600,33600,2,515200,67200
7/25/2023,July,2023,Banda Aceh,5.54829,95.323753,cust - 2968,Male,Normal,E-Wallet,Flashdisk 32 GB,Memory Hardware,224000,257600,33600,2,515200,67200
9/21/2022,September,2022,Banda Aceh,5.54829,95.323753,cust - 2892,Male,Subscriber,M-Banking,Flashdisk 32 GB,Memory Hardware,224000,257600,33600,4,1030400,134400
3/15/2022,March,2022,Banda Aceh,5.54829,95.323753,cust - 2733,Male,Subscriber,Cash,Flashdisk 64 GB,Memory Hardware,336000,386400,50400,5,1932000,252000
3/25/2023,March,2023,Banda Aceh,5.54829,95.323753,cust - 2446,Female,Normal,Cash,Flashdisk 64 GB,Memory Hardware,336000,386400,50400,5,1932000,252000
4/15/2023,April,2023,Banda Aceh,5.54829,95.323753,cust - 0985,Female,Normal,Cash,Flashdisk 64 GB,Memory Hardware,336000,386400,50400,2,772800,100800
5/21/2023,May,2023,Banda Aceh,5.54829,95.323753,cust - 1035,Female,Subscriber,Cash,Flashdisk 64 GB,Memory Hardware,336000,386400,50400,1,386400,50400
6/28/2023,June,2023,Banda Aceh,5.54829,95.323753,cust - 2859,Male,Subscriber,Cash,Flashdisk 64 GB,Memory Hardware,336000,386400,50400,5,1932000,252000
3/10/2022,March,2022,Banda Aceh,5.54829,95.323753,cust - 0337,Male,Normal,E-Wallet,Flashdisk 64 GB,Memory Hardware,336000,386400,50400,1,386400,50400
7/27/2022,July,2022,Banda Aceh,5.54829,95.323753,cust - 2155,Female,Normal,E-Wallet,Flashdisk 64 GB,Memory Hardware,336000,386400,50400,1,386400,50400
9/21/2022,September,2022,Banda Aceh,5.54829,95.323753,cust - 1921,Male,Subscriber,E-Wallet,Flashdisk 64 GB,Memory Hardware,336000,386400,50400,4,1545600,201600
3/3/2023,March,2023,Banda Aceh,5.54829,95.323753,cust - 0374,Male,Subscriber,M-Banking,Flashdisk 64 GB,Memory Hardware,336000,386400,50400,4,1545600,201600
